racecourse,distance,going,raceclass,age_cond,age_cond,wintime,count
1.0,5.0,2,1.0,1,1,60.3075,12
1.0,5.0,2,1.0,3,3,59.436,5
1.0,5.0,2,2.0,1,1,59.815,4
1.0,5.0,2,2.0,2,2,60.395,2
1.0,5.0,2,2.0,3,3,59.7983333333,6
1.0,5.0,2,3.0,3,3,59.78,3
1.0,5.0,2,4.0,1,1,60.82,1
1.0,5.0,2,4.0,3,3,60.57,1
1.0,5.0,3,1.0,1,1,60.8856521739,23
1.0,5.0,3,1.0,3,3,59.34,8
1.0,5.0,3,2.0,1,1,61.6975,4
1.0,5.0,3,2.0,3,3,60.2194444444,18
1.0,5.0,3,3.0,1,1,61.8077777778,9
1.0,5.0,3,3.0,3,3,60.56,4
1.0,5.0,3,4.0,1,1,60.36,1
1.0,5.0,3,4.0,3,3,60.9966666667,6
1.0,5.0,5,1.0,1,1,61.63375,8
1.0,5.0,5,1.0,3,3,60.3025,4
1.0,5.0,5,2.0,1,1,63.41,2
1.0,5.0,5,2.0,2,2,61.73,2
1.0,5.0,5,2.0,3,3,61.082,5
1.0,5.0,5,3.0,1,1,62.33,1
1.0,5.0,5,3.0,3,3,61.8,4
1.0,5.0,5,4.0,1,1,63.36,1
1.0,5.0,5,4.0,3,3,61.9466666667,3
1.0,5.0,6,1.0,1,1,61.54,4
1.0,5.0,6,1.0,3,3,61.4666666667,3
1.0,5.0,6,2.0,1,1,64.305,2
1.0,5.0,6,2.0,3,3,61.6075,4
1.0,5.0,6,3.0,1,1,63.585,2
1.0,5.0,6,3.0,3,3,62.975,2
1.0,5.0,6,4.0,3,3,61.955,2
1.0,5.0,8,1.0,1,1,63.03,1
1.0,5.0,8,2.0,1,1,64.24,1
1.0,5.0,8,2.0,3,3,63.4,2
1.0,5.0,8,4.0,1,1,65.37,1
1.0,6.0,2,1.0,1,1,74.0983333333,12
1.0,6.0,2,1.0,2,2,72.185,2
1.0,6.0,2,1.0,3,3,72.7266666667,3
1.0,6.0,2,1.0,4,4,72.69,1
1.0,6.0,2,2.0,3,3,73.1766666667,3
1.0,6.0,2,3.0,1,1,73.66,1
1.0,6.0,2,3.0,3,3,72.39,1
1.0,6.0,2,3.0,4,4,73.29,1
1.0,6.0,2,4.0,1,1,74.6,4
1.0,6.0,3,1.0,1,1,74.5735,20
1.0,6.0,3,1.0,2,2,73.1425,4
1.0,6.0,3,1.0,3,3,73.35,10
1.0,6.0,3,2.0,1,1,76.2625,4
1.0,6.0,3,2.0,2,2,73.62,10
1.0,6.0,3,2.0,3,3,73.3671428571,7
1.0,6.0,3,2.0,4,4,73.08,1
1.0,6.0,3,3.0,1,1,75.482,5
1.0,6.0,3,3.0,3,3,74.5014285714,7
1.0,6.0,3,3.0,4,4,73.765,6
1.0,6.0,3,4.0,1,1,76.0333333333,24
1.0,6.0,3,4.0,2,2,74.585,8
1.0,6.0,3,4.0,4,4,74.655,2
1.0,6.0,5,1.0,1,1,75.3733333333,6
1.0,6.0,5,1.0,2,2,74.785,2
1.0,6.0,5,1.0,3,3,74.524,5
1.0,6.0,5,2.0,1,1,75.67,1
1.0,6.0,5,2.0,2,2,74.4309090909,11
1.0,6.0,5,2.0,3,3,75.23875,8
1.0,6.0,5,3.0,1,1,76.9871428571,7
1.0,6.0,5,3.0,3,3,75.185,4
1.0,6.0,5,3.0,4,4,74.96,1
1.0,6.0,5,4.0,1,1,77.05875,8
1.0,6.0,5,4.0,2,2,75.4,2
1.0,6.0,6,1.0,1,1,76.53,3
1.0,6.0,6,1.0,2,2,77.265,2
1.0,6.0,6,1.0,3,3,74.4033333333,6
1.0,6.0,6,2.0,1,1,76.14,1
1.0,6.0,6,2.0,2,2,75.2971428571,7
1.0,6.0,6,2.0,3,3,78.62,1
1.0,6.0,6,3.0,1,1,77.33,1
1.0,6.0,6,4.0,1,1,76.725,2
1.0,6.0,6,4.0,4,4,77.2033333333,3
1.0,6.0,8,1.0,1,1,75.93,1
1.0,6.0,8,1.0,2,2,76.81,1
1.0,6.0,8,1.0,3,3,76.865,6
1.0,6.0,8,2.0,3,3,76.9,1
1.0,6.0,8,3.0,4,4,79.265,2
1.0,6.5,2,1.0,2,2,80.21,1
1.0,6.5,3,2.0,1,1,81.7933333333,3
1.0,6.5,3,3.0,3,3,81.03,1
1.0,6.5,3,4.0,1,1,81.41,1
1.0,6.5,5,2.0,1,1,82.925,2
1.0,6.5,5,3.0,3,3,83.05,2
1.0,6.5,5,4.0,1,1,83.45,1
1.0,6.5,6,2.0,1,1,82.9433333333,3
1.0,7.0,2,1.0,1,1,88.4866666667,3
1.0,7.0,2,1.0,2,2,86.284,5
1.0,7.0,2,2.0,1,1,89.5866666667,3
1.0,7.0,2,2.0,2,2,86.39,1
1.0,7.0,2,2.0,3,3,86.18,8
1.0,7.0,2,3.0,3,3,87.8,1
1.0,7.0,2,4.0,1,1,88.7275,8
1.0,7.0,2,4.0,3,3,87.8975,4
1.0,7.0,3,1.0,1,1,88.7646153846,13
1.0,7.0,3,1.0,2,2,86.6355555556,9
1.0,7.0,3,1.0,3,3,87.595,6
1.0,7.0,3,2.0,1,1,89.554,5
1.0,7.0,3,2.0,2,2,86.5675,4
1.0,7.0,3,2.0,3,3,86.8475,20
1.0,7.0,3,2.0,4,4,87.1175,8
1.0,7.0,3,3.0,1,1,88.5425,4
1.0,7.0,3,3.0,2,2,87.44,2
1.0,7.0,3,3.0,3,3,88.913,10
1.0,7.0,3,4.0,1,1,89.51,6
1.0,7.0,3,4.0,2,2,88.255,2
1.0,7.0,3,4.0,3,3,88.7125,4
1.0,7.0,3,4.0,4,4,86.08,1
1.0,7.0,5,1.0,1,1,90.356,5
1.0,7.0,5,1.0,2,2,88.93,1
1.0,7.0,5,1.0,3,3,89.06,2
1.0,7.0,5,2.0,1,1,89.86,5
1.0,7.0,5,2.0,2,2,89.81,1
1.0,7.0,5,2.0,3,3,88.6666666667,6
1.0,7.0,5,2.0,4,4,89.62,1
1.0,7.0,5,3.0,1,1,90.0775,4
1.0,7.0,5,3.0,2,2,87.76,3
1.0,7.0,5,3.0,3,3,89.7325,4
1.0,7.0,5,4.0,1,1,90.9611111111,9
1.0,7.0,5,4.0,2,2,89.535,2
1.0,7.0,5,4.0,3,3,88.02,1
1.0,7.0,6,1.0,1,1,90.62,1
1.0,7.0,6,1.0,3,3,89.47,6
1.0,7.0,6,2.0,1,1,90.62,4
1.0,7.0,6,2.0,3,3,88.665,8
1.0,7.0,6,2.0,4,4,90.3975,4
1.0,7.0,6,3.0,1,1,89.615,2
1.0,7.0,6,3.0,2,2,89.81,3
1.0,7.0,6,3.0,3,3,90.42,1
1.0,7.0,6,4.0,1,1,91.08,1
1.0,7.0,6,4.0,3,3,89.59,1
1.0,7.0,8,1.0,1,1,92.46,1
1.0,7.0,8,2.0,1,1,94.0333333333,3
1.0,7.0,8,2.0,2,2,93.5,1
1.0,7.0,8,2.0,3,3,90.7625,4
1.0,8.0,2,1.0,1,1,101.0,2
1.0,8.0,2,1.0,2,2,99.2794117647,17
1.0,8.0,2,1.0,3,3,99.1533333333,3
1.0,8.0,2,1.0,4,4,99.436,15
1.0,8.0,2,2.0,1,1,102.495,2
1.0,8.0,2,2.0,2,2,99.31,6
1.0,8.0,2,2.0,3,3,99.6366666667,6
1.0,8.0,2,3.0,2,2,100.775,2
1.0,8.0,2,3.0,3,3,100.228571429,7
1.0,8.0,2,4.0,2,2,103.193333333,3
1.0,8.0,2,4.0,4,4,101.685,2
1.0,8.0,3,1.0,1,1,100.652,5
1.0,8.0,3,1.0,2,2,99.88,18
1.0,8.0,3,1.0,3,3,100.480769231,13
1.0,8.0,3,1.0,4,4,99.5289473684,19
1.0,8.0,3,2.0,1,1,104.84,1
1.0,8.0,3,2.0,2,2,100.323333333,12
1.0,8.0,3,2.0,3,3,100.297647059,17
1.0,8.0,3,2.0,4,4,100.756,5
1.0,8.0,3,3.0,2,2,101.546,5
1.0,8.0,3,3.0,3,3,101.867,10
1.0,8.0,3,4.0,2,2,101.775789474,19
1.0,8.0,3,4.0,3,3,102.52,4
1.0,8.0,3,4.0,4,4,100.546,5
