racecourse,age_cond,going,raceclass,distance,distance,wintime,count
1.0,1,2,1.0,5.0,5.0,60.3075,12
1.0,1,2,1.0,6.0,6.0,74.0983333333,12
1.0,1,2,1.0,7.0,7.0,88.4866666667,3
1.0,1,2,1.0,8.0,8.0,101.0,2
1.0,1,2,2.0,5.0,5.0,59.815,4
1.0,1,2,2.0,7.0,7.0,89.5866666667,3
1.0,1,2,2.0,8.0,8.0,102.495,2
1.0,1,2,3.0,6.0,6.0,73.66,1
1.0,1,2,4.0,5.0,5.0,60.82,1
1.0,1,2,4.0,6.0,6.0,74.6,4
1.0,1,2,4.0,7.0,7.0,88.7275,8
1.0,1,3,1.0,5.0,5.0,60.8856521739,23
1.0,1,3,1.0,6.0,6.0,74.5735,20
1.0,1,3,1.0,7.0,7.0,88.7646153846,13
1.0,1,3,1.0,8.0,8.0,100.652,5
1.0,1,3,2.0,5.0,5.0,61.6975,4
1.0,1,3,2.0,6.0,6.0,76.2625,4
1.0,1,3,2.0,6.5,6.5,81.7933333333,3
1.0,1,3,2.0,7.0,7.0,89.554,5
1.0,1,3,2.0,8.0,8.0,104.84,1
1.0,1,3,3.0,5.0,5.0,61.8077777778,9
1.0,1,3,3.0,6.0,6.0,75.482,5
1.0,1,3,3.0,7.0,7.0,88.5425,4
1.0,1,3,4.0,5.0,5.0,60.36,1
1.0,1,3,4.0,6.0,6.0,76.0333333333,24
1.0,1,3,4.0,6.5,6.5,81.41,1
1.0,1,3,4.0,7.0,7.0,89.51,6
1.0,1,5,1.0,5.0,5.0,61.63375,8
1.0,1,5,1.0,6.0,6.0,75.3733333333,6
1.0,1,5,1.0,7.0,7.0,90.356,5
1.0,1,5,1.0,8.0,8.0,103.192,5
1.0,1,5,2.0,5.0,5.0,63.41,2
1.0,1,5,2.0,6.0,6.0,75.67,1
1.0,1,5,2.0,6.5,6.5,82.925,2
1.0,1,5,2.0,7.0,7.0,89.86,5
1.0,1,5,2.0,8.0,8.0,103.95,1
1.0,1,5,3.0,5.0,5.0,62.33,1
1.0,1,5,3.0,6.0,6.0,76.9871428571,7
1.0,1,5,3.0,7.0,7.0,90.0775,4
1.0,1,5,4.0,5.0,5.0,63.36,1
1.0,1,5,4.0,6.0,6.0,77.05875,8
1.0,1,5,4.0,6.5,6.5,83.45,1
1.0,1,5,4.0,7.0,7.0,90.9611111111,9
1.0,1,5,4.0,8.0,8.0,104.85,1
1.0,1,6,1.0,5.0,5.0,61.54,4
1.0,1,6,1.0,6.0,6.0,76.53,3
1.0,1,6,1.0,7.0,7.0,90.62,1
1.0,1,6,1.0,8.0,8.0,103.308571429,7
1.0,1,6,2.0,5.0,5.0,64.305,2
1.0,1,6,2.0,6.0,6.0,76.14,1
1.0,1,6,2.0,6.5,6.5,82.9433333333,3
1.0,1,6,2.0,7.0,7.0,90.62,4
1.0,1,6,3.0,5.0,5.0,63.585,2
1.0,1,6,3.0,6.0,6.0,77.33,1
1.0,1,6,3.0,7.0,7.0,89.615,2
1.0,1,6,4.0,6.0,6.0,76.725,2
1.0,1,6,4.0,7.0,7.0,91.08,1
1.0,1,8,1.0,5.0,5.0,63.03,1
1.0,1,8,1.0,6.0,6.0,75.93,1
1.0,1,8,1.0,7.0,7.0,92.46,1
1.0,1,8,1.0,8.0,8.0,106.193333333,3
1.0,1,8,2.0,5.0,5.0,64.24,1
1.0,1,8,2.0,7.0,7.0,94.0333333333,3
1.0,1,8,4.0,5.0,5.0,65.37,1
1.0,2,2,1.0,6.0,6.0,72.185,2
1.0,2,2,1.0,6.5,6.5,80.21,1
1.0,2,2,1.0,7.0,7.0,86.284,5
1.0,2,2,1.0,8.0,8.0,99.2794117647,17
1.0,2,2,1.0,10.0,10.0,125.2775,4
1.0,2,2,1.0,12.0,12.0,149.69,8
1.0,2,2,1.0,16.0,16.0,206.4125,4
1.0,2,2,1.0,16.2,16.2,209.12,1
1.0,2,2,2.0,5.0,5.0,60.395,2
1.0,2,2,2.0,7.0,7.0,86.39,1
1.0,2,2,2.0,8.0,8.0,99.31,6
1.0,2,2,2.0,12.0,12.0,150.055,8
1.0,2,2,3.0,8.0,8.0,100.775,2
1.0,2,2,4.0,8.0,8.0,103.193333333,3
1.0,2,2,4.0,12.0,12.0,153.195,2
1.0,2,3,1.0,6.0,6.0,73.1425,4
1.0,2,3,1.0,7.0,7.0,86.6355555556,9
1.0,2,3,1.0,8.0,8.0,99.88,18
1.0,2,3,1.0,10.0,10.0,126.301428571,7
1.0,2,3,1.0,12.0,12.0,150.28,12
1.0,2,3,1.0,14.0,14.0,185.99,1
1.0,2,3,1.0,16.0,16.0,206.103333333,3
1.0,2,3,1.0,16.2,16.2,210.013333333,3
1.0,2,3,2.0,6.0,6.0,73.62,10
1.0,2,3,2.0,7.0,7.0,86.5675,4
1.0,2,3,2.0,8.0,8.0,100.323333333,12
1.0,2,3,2.0,12.0,12.0,151.077777778,9
1.0,2,3,3.0,7.0,7.0,87.44,2
1.0,2,3,3.0,8.0,8.0,101.546,5
1.0,2,3,3.0,10.0,10.0,128.9075,4
1.0,2,3,3.0,12.0,12.0,152.9525,4
1.0,2,3,4.0,6.0,6.0,74.585,8
1.0,2,3,4.0,7.0,7.0,88.255,2
1.0,2,3,4.0,8.0,8.0,101.775789474,19
1.0,2,3,4.0,10.0,10.0,131.43,1
1.0,2,3,4.0,12.0,12.0,153.04375,8
1.0,2,5,1.0,6.0,6.0,74.785,2
1.0,2,5,1.0,7.0,7.0,88.93,1
1.0,2,5,1.0,8.0,8.0,102.0225,8
1.0,2,5,1.0,10.0,10.0,130.03,1
1.0,2,5,1.0,12.0,12.0,155.0175,4
1.0,2,5,1.0,14.0,14.0,181.735,2
1.0,2,5,1.0,16.0,16.0,212.65,1
1.0,2,5,1.0,16.2,16.2,216.27,1
1.0,2,5,2.0,5.0,5.0,61.73,2
1.0,2,5,2.0,6.0,6.0,74.4309090909,11
1.0,2,5,2.0,7.0,7.0,89.81,1
1.0,2,5,2.0,8.0,8.0,101.92,7
1.0,2,5,2.0,12.0,12.0,154.543333333,6
1.0,2,5,3.0,7.0,7.0,87.76,3
1.0,2,5,3.0,8.0,8.0,103.68,2
1.0,2,5,3.0,10.0,10.0,129.26,1
1.0,2,5,3.0,12.0,12.0,153.435,2
1.0,2,5,4.0,6.0,6.0,75.4,2
1.0,2,5,4.0,7.0,7.0,89.535,2
1.0,2,5,4.0,8.0,8.0,102.992,10
1.0,2,5,4.0,12.0,12.0,155.77,2
1.0,2,6,1.0,6.0,6.0,77.265,2
1.0,2,6,1.0,8.0,8.0,105.83,3
1.0,2,6,1.0,12.0,12.0,155.41,1
1.0,2,6,1.0,14.0,14.0,189.47,2
1.0,2,6,1.0,16.0,16.0,214.05,1
1.0,2,6,2.0,6.0,6.0,75.2971428571,7
1.0,2,6,2.0,8.0,8.0,102.26,1
1.0,2,6,3.0,7.0,7.0,89.81,3
1.0,2,6,3.0,12.0,12.0,153.98,1
1.0,2,6,4.0,8.0,8.0,103.086666667,3
1.0,2,6,4.0,12.0,12.0,158.17,2
1.0,2,8,1.0,6.0,6.0,76.81,1
1.0,2,8,1.0,8.0,8.0,102.75,1
1.0,2,8,1.0,10.0,10.0,131.84,1
1.0,2,8,1.0,12.0,12.0,155.77,2
1.0,2,8,1.0,16.0,16.0,220.97,1
1.0,2,8,2.0,7.0,7.0,93.5,1
1.0,2,8,2.0,8.0,8.0,104.55,1
1.0,2,8,2.0,12.0,12.0,156.93,1
1.0,2,8,3.0,8.0,8.0,105.64,1
1.0,2,8,4.0,8.0,8.0,108.33,1
1.0,3,2,1.0,5.0,5.0,59.436,5
1.0,3,2,1.0,6.0,6.0,72.7266666667,3
1.0,3,2,1.0,8.0,8.0,99.1533333333,3
1.0,3,2,1.0,10.0,10.0,127.7,1
1.0,3,2,1.0,12.0,12.0,150.143333333,3
1.0,3,2,1.0,16.2,16.2,214.87,1
1.0,3,2,2.0,5.0,5.0,59.7983333333,6
1.0,3,2,2.0,6.0,6.0,73.1766666667,3
1.0,3,2,2.0,7.0,7.0,86.18,8
1.0,3,2,2.0,8.0,8.0,99.6366666667,6
1.0,3,2,2.0,10.0,10.0,126.75,2
1.0,3,2,2.0,12.0,12.0,150.901666667,6
