distance,raceclass,age_cond,going,racecourse,racecourse,wintime,count
5.0,1.0,1,2,1.0,1.0,60.3075,12
5.0,1.0,1,2,14.0,14.0,60.36,1
5.0,1.0,1,2,62.0,62.0,57.35,1
5.0,1.0,1,3,1.0,1.0,60.8856521739,23
5.0,1.0,1,3,2.0,2.0,58.2075,4
5.0,1.0,1,3,5.0,5.0,63.1566666667,3
5.0,1.0,1,3,14.0,14.0,58.5316666667,6
5.0,1.0,1,3,20.0,20.0,58.2125,4
5.0,1.0,1,3,62.0,62.0,58.47125,8
5.0,1.0,1,4,30.0,30.0,61.03,1
5.0,1.0,1,5,1.0,1.0,61.63375,8
5.0,1.0,1,5,2.0,2.0,59.1166666667,3
5.0,1.0,1,5,5.0,5.0,63.6833333333,6
5.0,1.0,1,5,14.0,14.0,60.1025,4
5.0,1.0,1,5,15.0,15.0,59.66,1
5.0,1.0,1,5,20.0,20.0,58.54,9
5.0,1.0,1,5,36.0,36.0,59.14,1
5.0,1.0,1,5,44.0,44.0,60.21,1
5.0,1.0,1,5,62.0,62.0,59.3144444444,9
5.0,1.0,1,6,1.0,1.0,61.54,4
5.0,1.0,1,6,2.0,2.0,60.76,3
5.0,1.0,1,6,5.0,5.0,65.25,1
5.0,1.0,1,6,14.0,14.0,60.08,2
5.0,1.0,1,6,15.0,15.0,61.93,1
5.0,1.0,1,6,20.0,20.0,58.83,2
5.0,1.0,1,6,36.0,36.0,60.55,1
5.0,1.0,1,6,62.0,62.0,59.89,3
5.0,1.0,1,8,1.0,1.0,63.03,1
5.0,1.0,1,8,2.0,2.0,61.92,2
5.0,1.0,1,8,14.0,14.0,62.43,1
5.0,1.0,1,8,20.0,20.0,62.07,1
5.0,1.0,1,8,36.0,36.0,61.79,1
5.0,1.0,1,8,62.0,62.0,62.065,4
5.0,1.0,1,9,2.0,2.0,62.455,2
5.0,1.0,2,2,22.0,22.0,59.43,1
5.0,1.0,2,3,22.0,22.0,60.3,1
5.0,1.0,2,3,62.0,62.0,58.36,1
5.0,1.0,2,8,22.0,22.0,63.32,1
5.0,1.0,3,2,1.0,1.0,59.436,5
5.0,1.0,3,2,16.0,16.0,54.67,1
5.0,1.0,3,2,20.0,20.0,56.83,1
5.0,1.0,3,2,22.0,22.0,57.6975,4
5.0,1.0,3,2,36.0,36.0,58.055,2
5.0,1.0,3,3,1.0,1.0,59.34,8
5.0,1.0,3,3,2.0,2.0,57.9616666667,6
5.0,1.0,3,3,5.0,5.0,61.775,2
5.0,1.0,3,3,16.0,16.0,55.11,2
5.0,1.0,3,3,20.0,20.0,56.9233333333,9
5.0,1.0,3,3,22.0,22.0,59.1025,4
5.0,1.0,3,3,27.0,27.0,58.4975,4
5.0,1.0,3,3,36.0,36.0,58.2561538462,13
5.0,1.0,3,3,62.0,62.0,57.678,5
5.0,1.0,3,4,27.0,27.0,59.905,2
5.0,1.0,3,4,47.0,47.0,58.67,1
5.0,1.0,3,5,1.0,1.0,60.3025,4
5.0,1.0,3,5,2.0,2.0,59.225,2
5.0,1.0,3,5,5.0,5.0,62.902,5
5.0,1.0,3,5,16.0,16.0,55.59,1
5.0,1.0,3,5,20.0,20.0,57.9,4
5.0,1.0,3,5,22.0,22.0,60.11,4
5.0,1.0,3,5,36.0,36.0,59.0222222222,9
5.0,1.0,3,6,1.0,1.0,61.4666666667,3
5.0,1.0,3,6,2.0,2.0,59.795,2
5.0,1.0,3,6,5.0,5.0,63.03,3
5.0,1.0,3,6,15.0,15.0,60.79,1
5.0,1.0,3,6,16.0,16.0,56.68,1
5.0,1.0,3,6,20.0,20.0,58.52,1
5.0,1.0,3,6,22.0,22.0,60.35,1
5.0,1.0,3,6,36.0,36.0,59.8533333333,3
5.0,1.0,3,6,62.0,62.0,59.41,1
5.0,1.0,3,7,47.0,47.0,58.24,1
5.0,1.0,3,8,2.0,2.0,61.27,1
5.0,1.0,3,8,14.0,14.0,61.51,1
5.0,1.0,3,8,20.0,20.0,60.84,1
5.0,1.0,3,8,36.0,36.0,61.42,1
5.0,1.0,3,9,22.0,22.0,64.03,1
5.0,1.0,4,1,30.0,30.0,57.0933333333,3
5.0,1.0,4,4,30.0,30.0,58.3383333333,6
5.0,1.0,4,4,47.0,47.0,58.215,2
5.0,1.0,4,8,22.0,22.0,62.75,1
5.0,2.0,1,2,1.0,1.0,59.815,4
5.0,2.0,1,2,36.0,36.0,59.03,1
5.0,2.0,1,3,1.0,1.0,61.6975,4
5.0,2.0,1,3,5.0,5.0,62.6828571429,14
5.0,2.0,1,3,15.0,15.0,59.06,7
5.0,2.0,1,3,18.0,18.0,59.61,1
5.0,2.0,1,3,20.0,20.0,59.57,1
5.0,2.0,1,3,22.0,22.0,60.4433333333,3
5.0,2.0,1,3,36.0,36.0,59.14,1
5.0,2.0,1,3,60.0,60.0,60.92,1
5.0,2.0,1,4,30.0,30.0,59.7,1
5.0,2.0,1,4,47.0,47.0,59.52,1
5.0,2.0,1,5,1.0,1.0,63.41,2
5.0,2.0,1,5,5.0,5.0,63.405,4
5.0,2.0,1,5,15.0,15.0,58.735,2
5.0,2.0,1,5,20.0,20.0,58.74,1
5.0,2.0,1,5,22.0,22.0,60.01,2
5.0,2.0,1,5,36.0,36.0,61.47,1
5.0,2.0,1,5,43.0,43.0,60.95,1
5.0,2.0,1,6,1.0,1.0,64.305,2
5.0,2.0,1,6,5.0,5.0,65.654,5
5.0,2.0,1,6,22.0,22.0,60.95,3
5.0,2.0,1,6,36.0,36.0,61.21,1
5.0,2.0,1,8,1.0,1.0,64.24,1
5.0,2.0,1,8,15.0,15.0,59.33,1
5.0,2.0,1,9,22.0,22.0,62.96,2
5.0,2.0,2,2,1.0,1.0,60.395,2
5.0,2.0,2,3,15.0,15.0,58.28,1
5.0,2.0,2,3,60.0,60.0,58.5033333333,6
5.0,2.0,2,3,62.0,62.0,57.62,4
5.0,2.0,2,4,27.0,27.0,59.78,1
5.0,2.0,2,4,28.0,28.0,60.39,1
5.0,2.0,2,4,30.0,30.0,59.52,2
5.0,2.0,2,4,47.0,47.0,58.46,1
5.0,2.0,2,5,1.0,1.0,61.73,2
5.0,2.0,2,5,51.0,51.0,60.5,1
5.0,2.0,2,5,60.0,60.0,58.42,3
5.0,2.0,2,5,62.0,62.0,59.7371428571,7
5.0,2.0,2,6,60.0,60.0,59.855,2
5.0,2.0,2,6,62.0,62.0,59.38,2
5.0,2.0,2,8,51.0,51.0,62.31,1
5.0,2.0,2,8,62.0,62.0,61.06,1
5.0,2.0,3,1,28.0,28.0,57.72,1
5.0,2.0,3,1,30.0,30.0,57.66,1
5.0,2.0,3,1,47.0,47.0,57.16,1
5.0,2.0,3,2,1.0,1.0,59.7983333333,6
5.0,2.0,3,2,2.0,2.0,58.15,1
5.0,2.0,3,2,14.0,14.0,58.34,3
5.0,2.0,3,2,22.0,22.0,57.84,1
5.0,2.0,3,2,35.0,35.0,58.91,1
5.0,2.0,3,2,62.0,62.0,57.8933333333,3
5.0,2.0,3,3,1.0,1.0,60.2194444444,18
5.0,2.0,3,3,2.0,2.0,57.87,1
5.0,2.0,3,3,5.0,5.0,62.37,4
