,racecourse,disttext,raceclass,count
4201,58,1m 141yds,6,425
4299,58,7f 32yds,6,350
4279,58,5f 216yds,6,316
4208,58,1m1f 103yds,6,301
2200,30,1m2f,6,297
4298,58,7f 32yds,5,289
2318,30,6f,6,283
4200,58,1m 141yds,5,273
4228,58,1m4f 50yds,6,272
2337,30,7f,6,262
3459,47,1m,6,251
4272,58,5f 20yds,6,242
1933,27,1m,6,236
3577,47,6f,6,236
4278,58,5f 216yds,5,231
4207,58,1m1f 103yds,5,229
2175,30,1m,5,228
2199,30,1m2f,5,221
4227,58,1m4f 50yds,5,208
3590,47,7f,6,202
2317,30,6f,5,197
2336,30,7f,5,195
2176,30,1m,6,190
2036,27,6f,6,189
2046,27,7f,6,168
3487,47,1m4f,6,163
1838,25,2m 110yds,4,161
1932,27,1m,5,161
3458,47,1m,5,159
4092,56,2m,4,157
2045,27,7f,5,154
3429,46,2m4f,4,153
1382,19,2m2f 110yds,4,151
3576,47,6f,5,150
1968,27,1m4f,6,148
3830,53,2m,4,147
2224,30,1m4f,5,146
3831,53,2m,5,144
3843,53,2m4f 110yds,4,141
4271,58,5f 20yds,5,141
4234,58,1m5f 194yds,6,140
3564,47,5f,6,139
3791,52,2m,4,139
2300,30,5f,5,130
2044,27,7f,4,129
2035,27,6f,5,128
3589,47,7f,5,127
247,3,2m1f,4,126
1982,27,2m,4,125
3418,46,2m1f,4,125
1931,27,1m,4,123
2225,30,1m4f,6,122
3464,47,1m,F,120
3867,53,3m,4,118
3486,47,1m4f,5,115
3508,47,2m,4,112
4318,59,2m4f,4,112
4303,59,2m,5,111
2996,39,2m4f 110yds,4,110
3039,40,2m5f,4,110
2301,30,5f,6,109
4110,56,2m6f,4,109
1949,27,1m2f,6,106
1808,24,2m 110yds,4,104
2402,32,2m,4,104
4152,57,1m 67yds,5,104
1393,19,2m4f,4,102
3018,40,2m,5,100
3059,41,1m2f 6yds,5,100
3600,48,2m 110yds,4,100
2034,27,6f,4,99
2335,30,7f,4,98
2987,39,2m 110yds,4,98
