,Group.1,Group.2,Group.3,x.0%,x.5%
2,5,1,1,57.44,58.2155
232,5,1,2,58.53,58.953
597,5,1,3,59.26,59.266
1134,5,1,4,60.23,60.241
2512,5,1,A,59.68,59.776
2680,5,1,B,60.38,60.4405
2859,5,1,C,60.25,60.47
3179,5,1,D,62.19,62.2125
3,6,1,1,72.4,72.554
233,6,1,2,72.09,72.198
598,6,1,3,72.91,73.214
1135,6,1,4,75.58,75.7375
2513,6,1,A,72.23,72.378
2681,6,1,B,72.18,72.603
2860,6,1,C,74.14,74.1675
2861,6.5,1,C,81.03,81.183
4,7,1,1,86.36,86.7155
234,7,1,2,84.28,85.89
599,7,1,3,86.59,86.92
1136,7,1,4,85.9,85.945
2514,7,1,A,88.91,88.948
2682,7,1,B,85.83,86.406
2862,7,1,C,89.69,89.778
3180,7,1,D,89.11,89.195
5,8,1,1,97.09,97.7385
235,8,1,2,97.16,98.06
600,8,1,3,98.11,99.164
1137,8,1,4,99.44,99.489
2515,8,1,A,98.56,99.02
2683,8,1,B,99.87,100.13
2863,8,1,C,101.01,101.094
3181,8,1,D,100.83,101.4
6,10,1,1,121.9,122.547
236,10,1,2,124.71,124.9565
601,10,1,3,125.72,125.965
1138,10,1,4,127.59,127.619
2516,10,1,A,123.93,123.9545
2684,10,1,B,124.96,126.5495
2864,10,1,C,127.31,127.361
3182,10,1,D,130.48,130.504
7,12,1,1,144.6,147.304
237,12,1,2,148.16,148.805
602,12,1,3,149.79,150.1005
1139,12,1,4,154.3,154.552
2517,12,1,A,146.53,147.24
2685,12,1,B,148.74,150.028
2865,12,1,C,151.74,151.88
3183,12,1,D,157.18,157.2105
3636,12,1,E,157.96,157.96
603,14,1,3,181.05,181.212
8,16,1,1,205.52,206.74
238,16,1,2,207.75,208.143
604,16,1,3,206.57,207.53
1140,16,1,4,236.64,236.64
2686,16,1,B,234.88,235.1065
2866,16,1,C,244.66,244.66
3184,16,1,D,248.2,248.45
9,16.2,1,1,214.03,214.114
2518,16.2,1,A,214.87,215.136
2687,16.2,1,B,210.75,210.806
2867,16.2,1,C,214.89,215.0085
3185,16.2,1,D,208.95,209.862
2519,16.5,1,A,242.56,243.76
2688,16.5,1,B,231.63,233.25
2868,16.5,1,C,233.42,237.085
3186,16.5,1,D,233.08,235.465
10,17,1,1,242.59,243.1745
239,17,1,2,246.95,246.972
605,17,1,3,251.57,252.634
1141,17,1,4,265,265.12
11,19,1,1,277.3,280.6215
606,19,1,3,279.6,279.92
1142,19,1,4,305.83,305.83
12,19.5,1,1,269.52,272.601
240,19.5,1,2,274.81,278.206
607,19.5,1,3,276.85,277.59
1143,19.5,1,4,276.5,277.325
2520,19.5,1,A,296.57,298.752
3187,19.5,1,D,293.82,294.941
13,20,1,1,256.92,258.332
241,20,1,2,258.29,259.094
2521,20,1,A,258.92,259.412
2689,20,1,B,303.41,303.665
2869,20,1,C,260.99,263.84
3188,20,1,D,294.18,294.292
3637,20,1,E,296.83,297.947
242,21.5,1,2,319.31,321.048
608,21.5,1,3,317.4,317.834
243,21.72,1,2,287.79,288.142
244,22,1,2,310.9,312.145
609,22,1,3,309.9,318.225
2690,22.15,1,B,287.89,288.564
14,24,1,1,347.36,348.752
245,24,1,2,352.77,353.028
610,24,1,3,334.2,338.2
1144,24,1,4,359.8,360.74
2522,24,1,A,341.59,343.558
2691,24,1,B,367.84,368.005
2870,24,1,C,346.44,358.515
3189,24,1,D,376.16,376.3415
15,25,1,1,357.12,357.25
611,25,1,3,365.79,365.86
2523,25.5,1,A,379.89,381.3735
