"","racecourse","distance","count"
"1",1,5,161
"2",1,5.5,1
"3",1,6,233
"4",1,6.5,14
"5",1,7,211
"6",1,8,326
"7",1,10,114
"8",1,12,221
"9",1,14,5
"10",1,16,192
"11",1,16.2,33
"12",1,16.5,63
"13",1,17,50
"14",1,19,39
"15",1,19.5,109
"16",1,20,70
"17",1,21.5,41
"18",1,21.72,9
"19",1,22,24
"20",1,22.15,5
"21",1,24,96
"22",1,24.5,37
"23",1,25,9
"24",1,25.5,4
"25",1,30,1
"26",2,5,197
"27",2,6,358
"28",2,7,27
"29",2,7.23,250
"30",2,8,252
"31",2,9,7
"32",2,9.09,87
"33",2,10,165
"34",2,10.87,36
"35",2,13.06,90
"36",2,14,12
"37",2,15,37
"38",2,16,371
"39",2,16.5,7
"40",2,17.48,15
"41",2,20,268
"42",2,21,20
"43",2,21.5,59
"44",2,22,25
"45",2,24.5,97
"46",2,25,118
"47",2,27.5,8
"48",2,29,6
"49",2,32.5,8
"50",2,33,7
"51",3,17,463
"52",3,17.5,128
"53",3,20,186
"54",3,20.5,195
"55",3,24,114
"56",3,24.5,172
"57",3,30,19
"58",3,33,1
"59",4,5.05,421
"60",4,5.73,414
"61",4,8.02,351
"62",4,10,1
"63",4,10.21,281
"64",4,11.65,187
"65",4,13.1,79
"66",4,17.15,78
"67",5,5,575
"68",5,7.45,430
"69",5,8.45,258
"70",5,9.94,326
"71",5,11.98,29
"72",5,12.07,183
"73",5,16.16,72
"74",6,5.27,260
"75",6,5.97,338
"76",6,6,1
"77",6,6.95,413
"78",6,7.97,348
"79",6,9.95,340
"80",6,11.89,268
"81",7,5,171
"82",7,5.7,1
"83",7,5.88,152
"84",7,5.94,12
"85",7,6.87,122
"86",7,6.94,9
"87",7,7.91,159
"88",7,7.97,10
"89",7,9.28,103
"90",7,11.49,35
"91",7,11.94,28
"92",7,12,6
"93",7,14,11
"94",7,14.15,32
"95",7,16,122
"96",7,17,229
"97",7,17.24,16
"98",7,19.5,34
"99",7,20,243
"100",7,20.5,28
"101",7,21,26
"102",7,24,23
"103",7,24.5,98
"104",7,25,28
"105",7,26,86
"106",7,28,6
"107",8,17.5,254
"108",8,21,1
"109",8,21.5,71
"110",8,22,123
"111",8,26,93
"112",8,30,20
"113",9,5,339
"114",9,5.96,279
"115",9,7,483
"116",9,11.97,260
"117",9,13.8,107
"118",9,15.8,102
"119",9,16,323
"120",9,19,226
"121",9,22,7
"122",9,25.45,1
"123",9,25.5,166
"124",9,28.5,2
"125",9,30,10
"126",9,NA,0
"127",10,12,6
"128",10,14.5,4
"129",10,16,76
"130",10,16.5,254
"131",10,17,168
"132",10,20,18
"133",10,20.5,115
"134",10,21,260
"135",10,21.5,44
"136",10,24,109
"137",10,24.5,98
"138",10,25,8
"139",10,25.5,136
"140",10,26,3
"141",10,26.5,69
"142",10,27.5,14
"143",10,28.5,7
"144",10,31,34
"145",10,32,12
"146",10,33,21
"147",11,5.07,142
"148",11,6.07,204
"149",11,7.07,197
"150",11,8.06,251
"151",11,10.16,134
"152",11,12.1,152
"153",11,16.22,44
"154",11,16.5,434
"155",11,18,21
"156",11,19.5,146
"157",11,20,255
"158",11,24,342
"159",11,26.5,48
"160",11,29.5,19
"161",11,NA,0
"162",12,5.07,229
"163",12,5.5,14
"164",12,6.08,137
"165",12,7.01,195
"166",12,7.55,143
"167",12,10.34,228
"168",12,11.36,23
"169",12,12.3,125
"170",12,13.4,43
"171",12,14.41,4
"172",12,15.89,43
"173",12,18.67,20
"174",13,13,22
"175",13,17,322
"176",13,17.5,103
"177",13,19,235
"178",13,19.5,148
"179",13,21.5,33
"180",13,22,3
"181",13,22.5,102
"182",13,23,5
"183",13,23.5,197
"184",13,24,95
"185",13,24.5,38
"186",13,25,4
"187",13,25.5,49
"188",13,30,1
"189",13,30.5,20
"190",13,32,14
"191",14,5,213
"192",14,5.64,24
"193",14,6,376
"194",14,6.5,30
"195",14,7,398
"196",14,8,311
"197",14,10.27,272
"198",14,12,192
"199",14,13,8
"200",14,14.6,98
"201",14,16.5,308
"202",14,18,20
"203",14,19,69
"204",14,19.5,122
"205",14,20,28
"206",14,24,88
"207",14,24.5,53
"208",14,26,27
"209",14,32,3
"210",15,5,530
"211",15,7.14,337
"212",15,8,226
"213",15,9,132
"214",15,11,6
"215",15,12,98
"216",15,12.45,63
"217",15,13,24
"218",15,14,113
"219",15,16,428
"220",15,17,12
"221",15,18.17,1
"222",15,20,231
"223",15,22,1
"224",15,24,117
"225",15,24.5,49
"226",15,27,3
"227",16,5,59
"228",16,6,134
"229",16,7,214
"230",16,8.52,199
"231",16,10.08,200
"232",16,12.05,172
"233",17,16,264
"234",17,16.5,47
"235",17,20,126
"236",17,21.5,164
"237",17,23.5,81
"238",17,24.5,167
"239",17,29.5,4
"240",18,5,182
"241",18,6,210
"242",18,6.86,8
"243",18,7,269
"244",18,9.68,190
"245",18,12,132
"246",18,15.42,33
"247",18,16,83
"248",18,16.42,27
"249",18,17.5,249
"250",18,20.5,44
"251",18,21,141
"252",18,22.5,99
"253",18,25,107
"254",18,26,34
"255",18,28,2
"256",18,31,18
"257",19,14,51
"258",19,18,210
"259",19,18.5,538
"260",19,20,400
"261",19,22,218
"262",19,22.5,251
"263",19,26.5,173
"264",19,27,52
"265",19,28,29
"266",20,5,175
"267",20,6,402
"268",20,7,349
"269",20,8,314
"270",20,9,153
"271",20,9.87,203
"272",20,11,94
"273",20,12,162
"274",20,14,88
"275",20,16,81
"276",20,20,1
"277",20,21,13
"278",21,5.02,299
"279",21,5.91,11
"280",21,6.02,477
"281",21,8.3,265
"282",21,9.16,239
"283",21,11.07,145
"284",21,12.08,105
"285",21,13.04,100
"286",22,5,252
"287",22,6,483
"288",22,7,49
"289",22,7.02,2
"290",22,7.06,1
"291",22,7.12,2
"292",22,7.14,106
"293",22,7.15,1
"294",22,7.17,2
"295",22,8,109
"296",22,8.02,2
"297",22,8.06,2
"298",22,8.09,1
"299",22,8.12,2
"300",22,8.14,281
"301",22,8.15,4
"302",22,8.17,2
"303",22,8.26,4
"304",22,10.43,102
"305",22,10.45,4
"306",22,10.52,1
"307",22,10.55,167
"308",22,10.58,2
"309",22,10.6,1
"310",22,10.7,2
"311",22,11.91,204
"312",22,11.93,4
"313",22,11.97,1
"314",22,12,9
"315",22,12.08,1
"316",22,13,4
"317",22,14,137
"318",22,14.09,2
"319",22,14.17,2
"320",22,16,282
"321",22,16.12,1
"322",22,16.2,23
"323",22,16.5,29
"324",22,17,1
"325",22,20,208
"326",22,20.5,10
"327",22,21,9
"328",22,22,70
"329",22,23,1
"330",22,23.5,49
"331",22,24,135
"332",22,25,14
"333",22,28,17
"334",22,28.5,21
"335",22,29,2
"336",23,5,7
"337",23,13,6
"338",23,14,3
"339",23,16,127
"340",23,17,404
"341",23,19,167
"342",23,19.5,156
"343",23,20,104
"344",23,21.5,26
"345",23,22.5,33
"346",23,25.5,169
"347",23,26,101
"348",23,31,3
"349",24,16,29
"350",24,16.5,481
"351",24,20.5,347
"352",24,23,8
"353",24,24,130
"354",24,25,189
"355",24,32,19
"356",25,14,12
"357",25,16.5,653
"358",25,20.5,396
"359",25,21.5,141
"360",25,24,252
"361",25,26,134
"362",25,30.5,13
"363",26,13,1
"364",26,16,4
"365",26,16.5,268
"366",26,17,138
"367",26,18,146
"368",26,20.5,2
"369",26,21.5,4
"370",26,22.5,311
"371",26,23.5,36
"372",26,25,198
"373",26,26,17
"374",26,27,16
"375",26,28,17
"376",26,32,11
"377",27,5,394
"378",27,6,1045
"379",27,7,1054
"380",27,8,1240
"381",27,9,57
"382",27,9.5,1
"383",27,10,450
"384",27,11,329
"385",27,11.14,6
"386",27,12,558
"387",27,14.42,25
"388",27,16,688
"389",27,18,3
"390",27,20.5,149
"391",27,21,148
"392",27,24,166
"393",27,24.5,63
"394",27,25,3
"395",28,5,34
"396",28,6,85
"397",28,8,82
"398",28,9.21,3
"399",28,10,67
"400",28,13.3,15
"401",28,14,21
"402",28,16,5
"403",29,5.01,201
"404",29,5.99,350
"405",29,7.04,488
"406",29,8.04,107
"407",29,8.27,133
"408",29,9.99,315
"409",29,11.83,207
"410",29,16,336
"411",29,20,1
"412",29,20.5,303
"413",29,23.5,175
"414",29,24,1
"415",30,5,844
"416",30,5.03,10
"417",30,6,1518
"418",30,7,1790
"419",30,7.64,105
"420",30,8,1402
"421",30,9,43
"422",30,9.21,1
"423",30,10,1478
"424",30,10.27,4
"425",30,11.48,125
"426",30,11.8,3
"427",30,12,721
"428",30,13,212
"429",30,14,17
