"","Group.1","Group.2","Group.3","x.0%","x.5%"
"1",17.78,205,"0",271.9500,271.9500
"2", 5.00,  1,"1", 57.4400, 58.2155
"3", 6.00,  1,"1", 72.4000, 72.5540
"4", 7.00,  1,"1", 86.3600, 86.7155
"5", 8.00,  1,"1", 97.0900, 97.7385
"6",10.00,  1,"1",121.9000,122.5470
"7",12.00,  1,"1",144.6000,147.3040
"8",16.00,  1,"1",205.5200,206.7400
"9",16.20,  1,"1",214.0300,214.1140
"10",17.00,  1,"1",242.5900,243.1745
"11",19.00,  1,"1",277.3000,280.6215
"12",19.50,  1,"1",269.5200,272.6010
"13",20.00,  1,"1",256.9200,258.3320
"14",24.00,  1,"1",347.3600,348.7520
"15",25.00,  1,"1",357.1200,357.2500
"16", 5.00,  2,"1", 55.6800, 56.6070
"17", 6.00,  2,"1", 73.9000, 74.0125
"18", 8.00,  2,"1",108.6300,108.6300
"19",10.00,  2,"1",126.0000,126.0360
"20",10.87,  2,"1",147.8500,147.8500
"21",16.00,  2,"1",214.4000,214.4000
"22", 5.05,  4,"1", 58.7500, 59.2020
"23", 8.02,  4,"1", 97.9800, 98.1725
"24", 5.00,  5,"1", 61.7200, 61.7585
"25",20.00,  7,"1",307.3000,307.3000
"26",16.00, 10,"1",232.0000,235.8290
"27",16.50, 10,"1",224.6000,228.1500
"28",17.00, 10,"1",235.9000,237.2365
"29",20.00, 10,"1",284.4000,284.6580
"30",20.50, 10,"1",291.3100,297.2050
"31",21.00, 10,"1",294.9000,297.8200
"32",21.50, 10,"1",307.8100,309.6950
"33",24.00, 10,"1",338.1600,339.1940
"34",25.50, 10,"1",383.2700,384.1925
"35",27.50, 10,"1",417.8000,421.3455
"36",10.16, 11,"1",126.1700,126.1700
"37",20.00, 11,"1",283.5000,284.0250
"38",29.50, 11,"1",459.8400,460.1050
"39", 5.07, 12,"1", 59.2400, 59.4825
"40", 6.08, 12,"1", 73.1500, 73.2930
"41", 7.01, 12,"1", 84.9700, 85.1290
"42",10.34, 12,"1",127.9200,128.1990
"43",12.30, 12,"1",154.9300,155.6930
"44",13.40, 12,"1",168.7700,169.7870
"45",17.00, 13,"1",259.0200,260.0775
"46",17.50, 13,"1",245.9000,247.0375
"47", 5.00, 14,"1", 61.5100, 61.5100
"48", 5.64, 14,"1", 65.6400, 65.6400
"49", 6.00, 14,"1", 70.6200, 71.5465
"50", 7.00, 14,"1", 81.6600, 82.1700
"51", 8.00, 14,"1", 94.4600, 95.6440
"52",10.27, 14,"1",127.7100,128.4390
"53",12.00, 14,"1",149.1500,149.2910
"54",14.60, 14,"1",181.0700,181.4885
"55",16.50, 14,"1",233.7200,234.3740
"56",18.00, 14,"1",228.4100,228.9780
"57",24.50, 14,"1",349.0000,350.7750
"58", 5.00, 15,"1", 60.7900, 60.7900
"59",14.00, 15,"1",179.2600,179.3780
"60",16.00, 15,"1",216.7500,216.9545
"61", 5.00, 16,"1", 55.5900, 55.5900
"62", 7.00, 16,"1", 81.3400, 81.3815
"63", 8.52, 16,"1",101.7100,102.6030
"64",10.08, 16,"1",127.6700,127.6700
"65",12.05, 16,"1",153.4200,153.9150
"66",20.00, 19,"1",293.1500,293.3820
"67", 5.00, 20,"1", 56.6300, 56.6500
"68", 6.00, 20,"1", 69.1000, 69.1320
"69", 7.00, 20,"1", 84.1900, 85.0040
"70", 8.00, 20,"1", 96.1000, 96.4930
"71", 9.00, 20,"1",116.3500,116.3500
"72", 9.87, 20,"1",123.5100,124.4700
"73",12.00, 20,"1",153.8600,154.6270
"74",14.00, 20,"1",177.6100,177.9840
"75",16.00, 20,"1",201.5500,201.8700
"76", 5.02, 21,"1", 58.5700, 58.6825
"77", 6.02, 21,"1", 72.6200, 72.6200
"78",12.08, 21,"1",153.6600,154.2720
"79",13.04, 21,"1",175.5500,175.5500
"80", 5.00, 22,"1", 56.3900, 56.9220
"81", 6.00, 22,"1", 69.4000, 70.1200
"82", 7.00, 22,"1", 86.9600, 87.2690
"83", 7.12, 22,"1", 89.3700, 89.3700
"84", 7.14, 22,"1", 88.2300, 88.6200
"85", 8.00, 22,"1",100.7700,101.0625
"86", 8.14, 22,"1", 99.4400,100.1360
"87",10.43, 22,"1",129.9500,130.3060
"88",10.55, 22,"1",130.2900,131.3840
"89",11.91, 22,"1",148.4400,149.9760
"90",12.00, 22,"1",150.5900,150.6705
"91",14.00, 22,"1",180.4300,180.8215
"92",16.00, 22,"1",213.7000,218.5745
"93",16.50, 22,"1",222.5700,227.5410
"94",20.00, 22,"1",280.1000,281.6500
"95",23.50, 22,"1",365.1600,365.5395
"96",24.00, 22,"1",338.0000,340.3205
"97",25.00, 22,"1",361.2700,361.3520
"98",20.50, 25,"1",295.4000,296.1035
"99",18.00, 26,"1",270.5400,271.1210
"100", 5.00, 27,"1", 59.8500, 59.8555
"101", 7.00, 27,"1", 84.2400, 84.2445
"102", 8.00, 27,"1", 96.0100, 96.2000
"103",10.00, 27,"1",123.7700,123.9410
"104",12.00, 27,"1",148.9900,149.5400
"105",16.00, 27,"1",201.5000,221.3540
"106",20.50, 27,"1",335.0000,335.0000
"107",21.00, 27,"1",311.1000,312.0480
"108",24.00, 27,"1",357.3500,359.9825
"109",24.50, 27,"1",364.2000,364.8475
"110", 7.04, 29,"1", 81.9200, 81.9560
"111", 5.00, 30,"1", 56.6700, 56.8725
"112", 6.00, 30,"1", 68.9400, 69.3240
"113", 7.00, 30,"1", 80.0500, 80.3490
"114", 7.64, 30,"1", 88.8800, 89.2445
"115", 8.00, 30,"1", 94.7700, 95.2315
"116",10.00, 30,"1",120.9900,121.1985
"117",11.48, 30,"1",152.1700,152.1700
"118",12.00, 30,"1",150.6700,151.0440
"119",13.00, 30,"1",161.0800,161.1680
"120",16.00, 30,"1",214.6800,215.1215
"121",19.50, 30,"1",305.8500,305.8500
"122",24.00, 30,"1",386.9400,387.4740
"123",16.00, 31,"1",237.2200,237.4890
"124",16.50, 31,"1",237.0100,237.3620
"125",20.00, 31,"1",285.2400,289.2220
"126",24.50, 31,"1",360.6300,361.9980
"127",25.00, 31,"1",402.1000,403.8200
"128",17.00, 33,"1",237.4400,237.7410
"129",17.50, 33,"1",248.8800,249.1230
"130",22.50, 33,"1",317.1000,317.1650
"131", 5.15, 34,"1", 59.7200, 59.7605
"132", 6.04, 34,"1", 70.4800, 70.5565
"133", 7.00, 34,"1", 82.7100, 82.9350
"134", 8.00, 34,"1", 93.5900, 94.5100
"135",10.03, 34,"1",123.5300,123.9950
"136",11.02, 34,"1",137.6600,137.8445
"137",12.02, 34,"1",148.2600,150.6925
"138",13.28, 34,"1",167.9100,168.4050
"139",16.50, 34,"1",229.5000,231.3700
"140",20.00, 34,"1",300.2000,300.9280
"141",21.00, 34,"1",288.5200,288.6460
"142",24.00, 34,"1",358.3000,359.4820
"143",24.50, 34,"1",351.8200,355.9480
"144",26.50, 34,"1",387.9500,388.0375
"145", 6.00, 35,"1", 70.7400, 70.8300
"146",10.15, 35,"1",127.3200,127.5680
"147",16.00, 35,"1",234.9000,235.7600
"148",24.00, 35,"1",356.1000,356.6900
"149", 5.00, 36,"1", 56.8700, 56.9975
"150", 6.00, 36,"1", 69.6400, 69.8800
